,المصنع الحديث للسخانات, 0114486898, 0114469756, m.aldosary@aljazierah.com
1711,Fahad Sulaiman Altwaijri Factory For Marble Resistant Surfaces , 0163220490, 063220490, akramallzuabi@hotmail.com
1715,Gulf Steel Factory for Machine Spare Parts, 0138373901, 0138373901, nghabayen@gsf.ne.com
1716,Gulf Carton Factory, 0135331127, 035331127, meshari@gulfcarton.net
1720,Arab Crystal Factory for Modern Industries, 0122864383, 0122864383, info@crystalarabia.com
1721,Christwood Wood Works Factory , 0138575510, 0138575508, century@aujan.com.sa
1723,Lada Aluminum & Iron Factory Co., 0112650252, 0112650351, lada.alum.l@gmail.com
1724,Mohammed Ibrahim Batterjee Factory for Readymade Garments and Leather Manufactures, 0126380043, 026380043, group@batterjee.com
1725,Morjan Factory for Fiberglass Products, 0138121420, 0138121484, hussam.ms@hotmail.com
1727,Auxiliary factory for electrical distribution panels, 0114981987, 0114984063, musaid1975@yahoo.com
1728,Al Aziziyah Aluminum Projects Factory Co, 0114718086, 0114718087, alazizia_apco@yahoo.com
1729,Makkah National Factory for Aluminum Kitchens, 0148647117, 048647117, ahmed.abdulraouf@gmail.com
1730,Makkah Factory for Household Appliances Co, 0125200214, 025200214, mak@newflon.com
1732,Veterinary Products Products Co. Ltd. , 0138123221, 0138123112, info@montajat.boz
1735,Water Impact Plant Co., 0126378913, 0126082146, info@aquanufuud.com
1736,Water Impact Plant Co., 0126368000, 0126082146, mkhofani@aquanufud.com
1737,Spring Water Factory Co. Ltd., 0138121320, 0138121318, mubarak.aleid@nestle-waters.com.sa
1742,Nestle Water Factory Co. Ltd., 0112650000, 0112650934, hodere.alharbi@nesttle-waters.com.sa
1743,Nabaa Factory for Industrial Rubber Products, 0138121026, 0138121268, ibrahim@nabharubber.com
1745,Nemra Air Compressors & Iron Works Co. Ltd., 0114981027, 0114984859, info@namerah.com.sa
1746,Hager Factory for Iron Works , 0135308655, 035308655, hagersteel@gmail.com
1748,Al Attar & Al Sawas Printing Press, 0114981711, 0114024116, mromar256@hotmail.com
1749,Al Mutawa Press Company for its owners Saleh Hamad Al Mutawa and his partner, 0138472140, 0138472152, info@almutawapress.com
1750,Najd Printing Press Company, 0114488024, 0114480755, najdpress@yahoo.com
1751,Metal Magnesia Co. Ltd., 0148415378, 048415378, jabhanw@maaden.com.sa
1752,Fire Fighting Equipment & Risk Control Co. Ltd., 0138121095, 0138121092, abdulkareem.aljaroodi@redafire.com
1753,Safety & Fire Equipment Co. Ltd., 0138968821, 0138968821, talaal@saseeq.com
1754,Maan Hamad Al Jasser & Co. For Iron Smelting Co. Ltd., 0114981781, 0114989570, freh77@yahoo.com
1755,Aluminum Products Co. Ltd., 0138473010, 0138473010, habis@alupco.com
1757,Aluminum Products Co. Ltd. (WWCO) Jeddah Branch, 0126379763, 0126379763, majdi@alupco.com
1761,Inks Products Co. Ltd., 0114489260, 0114474195, alshuwaier@inksaudi.com
1762,Aluminum Products Co. Ltd. (WWCO), 0126379763, 026379763, majdi@alupco.com
1768,Saudi Plastic Products Company - SABCO, 0114480448, 0114461392, h.shakour@sappco.com.sa
1769,Saudi Plastic Products Co. Ltd., 0138471703, 0138471969, sapdam@sappco.com
1770,National Cleaning Products Co. Ltd., 0138122191, 0138121039, atef.ismail@abudawoodksa.com
1772,Insulation Company Isolation Products, 0114980332, 0114980655, sales@insuwrap.com
1774,Cement Industry Products Co. Ltd., 0126388551, 026388551, info@cementbags.com
1776,Manif Bin Amer Al Nahdi & Partner Trading & Industry Co. Ltd., 0126081278, 026081278, Munifalnahdifactory@yahoo.com
1778,Mian Mohammed & Partners Co, 0148376786, 048376786, nationalpipe@yahoo.com
1779,Pure Water Co. Ltd., 0148458888, 0148403731, naqiah@nestle-watars.com.sa
1780,MEGA ARABIA INDUSTRY & SERVICES CO, 0126371782, 0126380511, megaarabia@BEMCO.NET
1781,Medal Cables Saudi Arabia Limited , 0138945673, 0138988989, ibrahim.alabdullatif@alg.com.sa
1782,Saudi Mays Irrigation Systems Co. Ltd., 0112652300, 0112651344, irigation@mais.com.sa
1784,MES SAUDI MEDICAL PRODUCTS CO. LTD, 0112650184, 0112650139, fm@mais.com.sa
1786,Mimf Company for Electrical Industries, 0114966667, 0114917919, aty-memf@kfbgroup.com.sa
1787,Nabco Modern Plastic Products Co, 0138473040, 0138471484, adahan@napcogroup.com
1788,Nabco Modern Plastic Products Co, 0138473040, 0138471484, nalshumary@napcogroup.com
1789,NAPCO Riyadh Company for Consumer Products, 0112650176, 0112412097, napcoriyadh@napcogroup.com
1790,NAPCO PACKING MATERIALS CO. LTD, 0126379842, 026379842, mohammed.jalal@napcogroup.com
1792,NAPCO Multipacking Co. (NAPCO Multipack), 0126081063, 026081063, ihashim@napcogroup.com
1795,Nabco Company for Consumer Products, 0138471444, 0138472922, fathi.mohammed@napcogroup.com
1796,Arab Nabisco Company Limited, 0138473502, 0138473659, dalmousa@kraftfoods.com
1797,Transporter Company, 0114884887, 0114710096, khalid@naqel.com.sa
1798,Nalco Saudi Company Limited, 0138132800, 0138132801, alshaik@nalco.com
1799,Nesma Modern Recycling Co. Ltd, 0126587306, 026587306, nesmarecycling@nesma.com
1800,NESMA MODERN RESEARCH CO. LTD, 0126593932, 0126591818, a.albeshri@nesma.com
1801,Nesma Food Co. Ltd., 0138471654, 0138471654, nasmafood@nasmafood.com.sa
1802,Saudi Hannicard Company for the manufacture and cladding of bearings and cylinders, 0112653016, 0112653017, saleh@hannecardsaudi.com
1803,Herfy Company for Meat Production, 0114509767, 0114501824, elkarawi@herfy.com
1804,Herfy Food Services Company, 0114542496, 0114550708, elkarawi@herfy.com
1805,Al Hadd Al Majd Cement Products Co, 0163220808, 0163220707, Hetab_almajd@hotmail.com
1807,Henkel Polybit Industries Limited, 0138121920, 0138121164, abd5901@htmail.com
1809,Henkel Saudi Arabia for home and personal care products, 011265255, 0112651856, ahmed.nasser@henkel.com
1811,Saudi Arabian Oasis Supply Company, 0138472177, 0138472177, jaffaryusuf@sauditransformers.com
1812,Wadi Rum Metal Recycling Co. Ltd., 0114993125, 0114993129, ghazi@aboura.com
1813,Wali Plastic & Decoration Company, 0126372484, 0126376965, info@waliplastic.com
1816,Al - Safa Saudi Aluminum Manufacturing Company, 0138471633, 038471633, fahad@safaluminium.com
1817,Ware Arab Co. For Metals, 0138121084, 0138121970, dkm@amco.com.sa
1818,Wellspoon Middle East Pipe Co. Ltd., 0138121999, 0138121666, ahmed_alarifi@welspun.com
1822,WILSBON MIDDLE EASTERN CO. FOR LINING AND PACKAGING, 0138694441, 0138121666, oraifi@welspun.com
1823,USG Middle East Limited, 0138121075, 0138121029, admin@usgme.com
1827,Unicharm Gulf Sanitary Industries Co, 0112651633, 0112651472, aael-harbi@gulfhygienic.com.sa
1830,a company , 0138121234, 0138121414, bawan@bawanwood.com
1831,Saudi Bazouir Industrial Gases Company, 0138876530, 0138816281, emil@hotmail.com
1832,Company code for ready - made concrete, 0144201374, 044201374, ramzreadymix@hotmail.com
1833,Abdul Gawad Abdul Hadi Al Dweik & Sons Co. For Metal Industries, 0126510540, 026510540, osamh@mmico-group.com
1834,Abdullah Abdul Aziz Al - Shukhi & Company, 0126896948, 026896948, import@shugaihi.com
1835,Mohammed Abdullah Sharbatly Company Limited, 0144281275, 044281275, alaa.shahwan@sharbatlyfruit.com
1837,Al - Arrow Factory for Packing and Packing, 0126080895, 026080895, georges.sioufi@arrow-food.com
1838,Shoaib For Oven Industry, 0126380803, 026380803, shof.shuaib@gmail.com
1840,Net of bottled water, 0112651412, 0112651322, rb@safiawater.com
1842,Arab Vermiculite Industries, 0138471575, 0138471575, avi@avi-sa.com
1843,Welcome to Saeed Mohammed Al - Shahrani , 0138023407, 0138201425, emil@hotmail.com
1844,Abdul Aziz Abdul Latif Al Fawzan , 0138121236, 0138122005, jamal_barakat@aaalfozan.com
1846,Abdul Aziz Abdul Wahab Al Mousa, 0135923856, 035923856, mohd.1961@yahoo.com
1847,Abdullah bin Abdulaziz Al-Tamami, 0163322311, 063322311, vip-111vip@hotmail.com
1848,Militar Plastic Products, 0112727273, 0118128311, assg.factory@hotmail.com
1849,Omar Ibrahim Sulaiman Al Omar , 0163247460, 0163691009, alomar4decor@hotmail.com
1851,Saudi Mechanical Industries Company, 0112651979, 0112651494, ADMIN@SMI.COM.SA
1852,Arab Company for Insulating Materials of Fiberglass, 0138108236, 0138471302, Ramzi10@zamilindustrial.com
1853,Al Fawzan Wood Industries Branch, 0126368226, 0126368226, bawanjed@bawanwood.com
1854,INTERBLAST BRANCH CO. LTD, 0112654502, 0112651833, musaed@interplast-ksa.com
1855,Hempel Paints Company, 0122752828, 022752828, HAIB@HEMPEL.COM
1856,Buan Wood Industries Co. Ltd., 0126368226, 026368226, bawanjed@bawanwood.com
1857,Branch of BRC Saudi Industrial Limited, 0138082954, 0138124103, mkhabbal@brc.com.sa
1858,Redayat Industrial Services Branch, 0138872883, 0138827398, hadi@ncc.com.sa
1859,ZOLTECH ENGINEERING INDUSTRIES CO. LTD, 0126084447, 026084447, mahmood@zultec.com
1860,Branch of SMCS LLC, 0126212929, 026212929, samettex.ksa@gmal.com
1861,Sama Cement Industry Branch, 0112130967, 0112130967, refatsa@gmail.com
1862,Cooper Industries Middle East LLC, 0138122236, 0138121291, saif.algharibeh@cooperindustries.com
1863,Firewood Bakeries Company Limited , 0114725559, 0114729991, info@woodenbakery-ksa.com
1864,Mustafa Hammad & Sons Branch, 0144260033, 044260033, w.net2003@yahoo.com
1865,Ahmed Mohammed Bukhari & Partners Co , 0126336692, 026336692, alhuda_jed@yahoo.com
1866,Saudi Plastic Products Company, 0112651785, 0112651041, info@saptex.com
1867,NOAFAL AL ​​ARABIA OIL COMPANY LTD , 0112911912, 0114797606, nwafil@hotmail.com
1868,Branch of the Industrial Star Instability Group, 0122870501, 022870501, ceo.mngsa@gmail.com
1869,Branch of Abdulaziz As'ad Shahini, 0126080093, 026080093, scjed@shahini.com
1871,Khalil Abdel Wahab Sons & Co. For Metal Industries, 0114484640, 0114461257, rabi12@hotmail.com
1872,Zamil Plastics Middle East Plastic Factory, 0138121114, 0138121477, saad.alessa@zamilplastic.com
1873,Saudi Arabian Legrand Industries Co. Ltd., 0138121720, 0138121579, z.khaddam@seico.com.sa
1874,Branch of the Gulf Development Corporation for fire and fire fighting, 0138123579, 0138127418, firedirect@gmail.com
1876,Al Mansouriya Trading & Contracting Est, 0163220983, 063220983, ametco@saudionline.com.sa
1877,Mubarak Al - Hamad Trading Est, 0135343065, 035343065, mubarak_udah@yahoo.com
1878,Clarinet Ali Al - Abdullah Al - Tamimi, 0138121124, 0138121124, khba2006@yahoo.com
1879,Kanzi Comprehensive Rubber Products, 0126519117, 026519117, magdturky@hotmail.com
1880,Majid Abdul Aziz Al Rajhi Aluminum & Iron, 0112700314, 0112701929, m.rajhi@hotmail.com
1881,Al Farabi Medical Complex , 0138474080, 0138473553, al-mgr@al-faraby.com
1882,Al - Fadaghi Industrial Complex, 0114953000, 0114954000, info@alfaddahgi.com
1883,World Quality Complex for Fiber Glass, 0133617116, 0133617118, faleh_alhajri1@hotmail.com
1885,Industrial Systems Group , 0138892085, 0138974584, abdobm@naizak.com
1889,Alhamrani Industrial Group (Barrel Factory), 0126360390, 0126375172, info@aig-drums.co.sa
1890,Basem Abdulrahman Al Qasim Trading Group, 0114166999, 0114161099, bq@bqtg.com
1891,Bafrat Group for Food Production, 0126375212, 0126375752, ceooffice@RANAFOOD.COM
1892,SAMBA Financial Group, 0138658550, 0138658177, fahad@yousefia.com
1893,Saeed Saleh Al - Amqi & Partners Group for Industry & Investment, 0173173942, 073173942, fahadd5533@gmail.com
1894,Abdullah Shamsan Industrial Group, 0112651600, 0112650952, ahmad@shamsangroup.com
1895,AbdulMohsen Abdulaziz AlHokair Group Riyadh Plastic Factory, 0114980151, 0114488341, info@alhokair.com
1896,Fahad Al - Araji Group (Fahd Al - Qahtani Chemicals Factory), 0135332293, 035332293, fahad@fahadkgroup.com
1897,Group of an industrial star, 0122882760, 022882760, ceo.mngsa@gmail.com
1898,Electric power station (SKECO), 0138572300, 0138586803, sfenazi@se.com.sa
1899,Mohamed Said Lotfi Ben Arar, 0172208884, 072208883, ahffmf@hotmail.com
1900,Mohammed Saleh Babtain, 0126082179, 026082179, kzawz-candies@hotmail.com
1901,Mohamed Abdel Rahman Al Awad For Electrical Tools, 0112481532, 0114792288, CURRENT380V@HOTMAIL.COM
1903,Mohammed Ali Mohammed Al Rabian , 0138121027, 0112652724, remksa@yahoo.com
1904,Salheya Sweets & Bakeries, 0145313383, 045313383, asas_1407@hotmail.com
1905,Directorate of Health Affairs in the Holy Capital, 0125201554, 025201554, Info@heranet.org
1906,Al Jawad Printing & Packaging Center , 0135331357, 035331357, ahmesd@algawadgroup.net
1907,SABIC Industrial Center, 0112659212, 0112651101, asotibi@sabic.com
1909,General Hospital Hospital, 0135304440, 035304440, info@almoosahospital.com.sa
1910,AL JAZEERA ENGINEERING INDUSTRIES, 0112652447, 0112651744, aljazeraryd@gmail.com
1912,Al Saeed Factories for Industrial and Medical Gases, 0163220699, 063220699, mohamed.a60belai@hotmail.com
1914,East Plastic Factories, 0114488888, 0114488333, fahad@alshary.com
1915,East Packing Factories, 0112655551, 0112651804, CHAIRMAN@ALSHARQFLEX.COM
1918,East Paper & Plastic Factories, 0114488888, 0114488333, fahad@alshary.com
1919,East Factories for Acrylic & Fiberglass Products, 0126363333, 026363333, antar@alsharq-pl.com.sa
1921,Qassim Metal & Khashbi Furniture Factories , 0163220050, 0163810050, albahoothfurn@hotmail.com
1922,Al Jomaih Beverages Bottling Factories , 0112651746, 0112651696, headoffice@aljomaih.com.sa
1924,Hamza Khashim & Mohamed Gamal Factories, 0138471415, 0138473276, khushaimjamal@gmail.com
1926,Arefco Factories for the production of adhesive tape, 0126377221, 026377221, arifco@arifco.com
1927,Arefco Plastic Factories, 0126377221, 026377221, arifco@arifco.com
1934,Modern Ocean Electrical Appliances Factory, 0126293906, 026293906, engmohamedaz@yahoo.com
1935,Ahmed Abu Bakr Badhman Plastic Bags Factory, 0126718776, 0126494024, habadahman@yahoo.com
1936,ABJED PLASTIC INDUSTRIES FACTORY, 0126080963, 026080963, info@abjed.com
1938,Medical Protection Creativity Factory, 0112429631, 0114357777, oommoo11@hotmail.com
1939,Al - Saraya Light Industries Factory , 0112658888, 0112659999, jaber@carpets.com
1940,Ibarar Hussein Reyad Metal Forming Factory, 0112143089, 0112140995, tts32@hotmail.com
1941,Abraq Printing & Packaging Factory, 0138368080, 0138128600, abraqpress@gmail.com
1942,Ibrahim Hassan Ajimi Factory for the production of fillings, 0125500154, 025500154, brhoom1399@hotmail.com
1943,Ibrahim Hassan Medkhali Factory For Stickers, 0171111111, 071111111, madkhali2008@hotmail.com
1944,Ibrahim Al - Dweik Factory For Glass Formations, 0112147748, 0112428319, yoki200@hotmail.com
1945,Ibrahim Abdel Razeq Ibrahim Factory For Lighting Poles, 0125248827, 020402022666, hamdyelghazaly@yahoo.com
1946,Abu Al Jadayel Beverages Factory, 0126081620, 026081620, malghamdi@ab.com.sa
1950,Abou El Gdaile Factory For Fiberglass & Polyethylene Pipes, 0126082293, 026082293, info@ab.com.sa
1951,Abonian Pumping Plant, 0112652953, 0112652443, ksbarabia-sic@ksbarbia.com
1952,Gulf Union Juice Factory, 0112652855, 0112652779, abdiwe@gulf-union.com
1954,Union of Knowledge Iron Factory, 011499760, 0114997050, khaled@kalliance.com
1956,A professional factory for specialty chemicals , 0122681562, 022681562, ceo@al-abubaker.com.sa
1958,A professional factory for auxiliary chemicals, 0126648512, 026648512, ceo@al-abubaker.com.sa
1959,Ahmed Ismail Ghala Plastic Products Factory, 0112654949, 0112654343, kalaajiplas@hotmail.com
1960,Ahmed Saeed Kalsh & Co. For Clothes & Garments, 0148415470, 048415470, kalashgotra@hotmail.com
1961,Ahmed Sadek Naguib Mostafa Detergents Factory, 0126081380, 026081380, ahmadnajeeb2010@yahoo.com
1962,Ahmed Abed Foodstuff & Yeast Factory , 0126080975, 026080975, aaabed@aaabed.com
1964,Ahmed Abdalshich Factory and a partner for the production of plastic water pipes and accessories, 0126081754, 0126081688, aaalsheikhfactory@gmail.com
1965,Ahmed Abdullah Al Khuzaim Plastic Factory & Recycling , 0112651066, 0112651066, kuzpprf@hotmail.com
1966,Ahmed Ali Al Ghamdi Motor Oils Factory, 0114776025, 0114776025, ads_22sd@hotmail.com
1967,Ahmed Omar Bagshan Paints Factory, 0126378111, 026378111, bpl@bugshanpaints.com
1968,AHMED MOHAMED AL - EBERS PLASTIC, 0126474546, 0126495650, ahmed@al-abras.com
1969,Ard El Eman For Tiles & Bridges Factory, 0172211111, 0172382770, asulaiman@al-jazeerapaints.com
1971,ARKAZ ENGINEERING INDUSTRIES FACTORY, 0138175362, 0138172254, a.razek@tiseng.com
1973,ASAS PLASTIC FACTORY, 0172382643, 072382643, asas.steel@yahoo.com
1975,East Steel Factory for Refrigeration Rooms and Catering Equipment, 0148456655, 0148457000, babel_restaurant@yahoo.com
1976,Western Cement Factory, 0114040391, 0114040391, abdullah-zain@live.com
1977,Shaddan Kitchens Factory , 0138542006, 0138541426, accountsppsa@permapipe.com
1979,Petra Pillars Factory For Cement Products, 0144297702, 044297702, aghrair@sagia.gov.sa
1980,FACTORY CONCRETE OF SUBSTITUTES AND REFINED OILS, 0112082321, 0112414270, khhek@yahoo.com
1981,Riyadh Oxygen Factory, 0114485070, 0114486319, mousa_399@hotmail.com
1982,Riyadh Oxygen Factory, 0114485070, 0114468319, mousa_399@hotmail.com
1983,Riyadh Oxygen Factory Makkah Branch , 0125222562, 0114468319, albassam80@gmail.com
1984,Qassim Oxygen Factory, 0163220516, 063220516, gof.co@hotmail.com
1986,Salem Factory for Light Industries, 0126380511, 026380511, albakri@gedac.com
1987,International Innovation Factory , 0163220187, 0114766359, mazin1st@hotmail.com
1988,Creative Factory for Memorial Shields, 0172206622, 0172378364, alebdaa_2012@hotmail.com
1989,The creativity factory for metal works and metal furniture, 0112650085, 0112650107, alebdafactory@gmail.com
1990,Plastic Products Factory, 0126477937, 0126479051, al.attas_hussein@hotmail.com
1991,Medical Equipment & Supplies Factory, 0112655554, 0112653449, info@mdm-sa.com
1992,National Pharmaceutical Factory, 0112651002, 0112651006, prpask@hotmail.com
1993,El-Askabol Factory For Equipment & Machinery, 0112650037, 0112650115, m.haroon@estechtab.com
1994,Al - Assad Modern Factory, 0138472121, 0138472121, mail@modernacid.com
1995,International Lighting Factory, 0126531086, 026531086, eyad_hb@hotmail.com
1996,Saudi Aluminum Accreditation Factory, 0138473280, 0138473292, haythm21@yahoo.ca
1997,Multiplexing Plastic Factory, 0148321805, 048321805, dakhil50@hotmail.com
1998,Horizon Factory For Decorated Iron & Furniture, 0114996007, 0114992006, horizon_factory@yahoo.com
1999,Modern Dairy Factory - Badr Dairy, 0112651282, 0112653277, admin@mdpc.com.sa
2000,Al Amana Plastic Factory , 0165321147, 065321147, a100a100@hotmail.com
2001,Al Ansar Dates & Sweets Factory , 0148415463, 0148401966, alansardates@yahoo.com
2003,River Water Factory, 0126082030, 026082030, rwf@riverswater.net
2006,Factory of light signals, 0138121359, 0138121359, info@trafficsignalfactory.com
2007,Ewan Wood Works Factory, 0126082064, 026082064, k.radwan@alewanwoodwork.com
2010,Concrete Building Factory, 0138879758, 0138853390, k.alghushariy@alabniah.com.sa
2011,Modern Furniture Factory, 0114489170, 0114462753, info@mf-factory.com
